v4geneID	Chromosome	Start	Stop	v4geneID.1	X..	v5chromosome	v5start	v5stop	v5geneID	v5geneID.1	v5..	v5length
Zm00001d002159	chr2	7152182	7152463	Zm00001d002159	+	chr2	7152182	7152463	Zm00001eb069320	Zm00001eb069320	+	281
Zm00001d002160	chr2	7156800	7157042	Zm00001d002160	+	chr2	7156800	7157042	Zm00001eb069330	Zm00001eb069330	+	242
Zm00001d002161	chr2	7159250	7159510	Zm00001d002161	+	.	-1	-1	.	-1	.	0
Zm00001d002174	chr2	7503043	7512041	Zm00001d002174	+	chr2	7503073	7512041	Zm00001eb069490	Zm00001eb069490	+	8968
Zm00001d002188	chr2	7884434	7885966	Zm00001d002188	+	chr2	7885371	7885990	Zm00001eb069610	Zm00001eb069610	+	595
Zm00001d002191	chr2	7919251	7921832	Zm00001d002191	+	chr2	7919251	7921832	Zm00001eb069630	Zm00001eb069630	+	2581
Zm00001d002262	chr2	9390647	9391315	Zm00001d002262	+	chr2	9390647	9392245	Zm00001eb070290	Zm00001eb070290	+	668
Zm00001d002271	chr2	9450544	9451283	Zm00001d002271	+	chr2	9450544	9451112	Zm00001eb070350	Zm00001eb070350	+	568
Zm00001d002288	chr2	9882126	9883678	Zm00001d002288	-	chr2	9882126	9883249	Zm00001eb070520	Zm00001eb070520	-	1123
Zm00001d002290	chr2	9927534	9927992	Zm00001d002290	-	.	-1	-1	.	-1	.	0
Zm00001d002301	chr2	10034881	10035918	Zm00001d002301	+	chr2	10034629	10035918	Zm00001eb070600	Zm00001eb070600	+	1037
Zm00001d002307	chr2	10262914	10263705	Zm00001d002307	+	chr2	10262914	10263705	Zm00001eb070680	Zm00001eb070680	+	791
Zm00001d002346	chr2	10925434	10929177	Zm00001d002346	-	chr2	10925434	10929177	Zm00001eb071040	Zm00001eb071040	-	3743
Zm00001d002347	chr2	10933861	10934298	Zm00001d002347	-	chr2	10933861	10934298	Zm00001eb071050	Zm00001eb071050	-	437
Zm00001d002348	chr2	10947561	10949233	Zm00001d002348	+	chr2	10947415	10949381	Zm00001eb071060	Zm00001eb071060	+	1672
Zm00001d002350	chr2	10962322	10965726	Zm00001d002350	+	chr2	10962322	10965726	Zm00001eb071080	Zm00001eb071080	+	3404
Zm00001d002357	chr2	11044460	11048972	Zm00001d002357	-	chr2	11044460	11048950	Zm00001eb071130	Zm00001eb071130	-	4490
Zm00001d002364	chr2	11182600	11183268	Zm00001d002364	-	chr2	11182600	11183268	Zm00001eb071190	Zm00001eb071190	-	668
Zm00001d002374	chr2	11615813	11616316	Zm00001d002374	-	chr2	11615813	11616316	Zm00001eb071310	Zm00001eb071310	-	503
Zm00001d002381	chr2	11781110	11782892	Zm00001d002381	-	chr2	11781110	11813292	Zm00001eb071390	Zm00001eb071390	-	1782
Zm00001d002394	chr2	12103843	12104064	Zm00001d002394	+	chr2	12103843	12104064	Zm00001eb071530	Zm00001eb071530	+	221
Zm00001d002406	chr2	12276027	12277557	Zm00001d002406	+	chr2	12276007	12277557	Zm00001eb071600	Zm00001eb071600	+	1530
Zm00001d002408	chr2	12333828	12335565	Zm00001d002408	-	chr2	12333828	12335565	Zm00001eb071630	Zm00001eb071630	-	1737
Zm00001d002411	chr2	12384346	12385187	Zm00001d002411	+	.	-1	-1	.	-1	.	0
Zm00001d002415	chr2	12459580	12463603	Zm00001d002415	+	chr2	12459580	12463603	Zm00001eb071700	Zm00001eb071700	+	4023
Zm00001d002444	chr2	13086262	13088962	Zm00001d002444	-	chr2	13086481	13088962	Zm00001eb071960	Zm00001eb071960	-	2481
Zm00001d002446	chr2	13121925	13124397	Zm00001d002446	+	chr2	13121925	13124397	Zm00001eb071970	Zm00001eb071970	+	2472
Zm00001d002458	chr2	13537034	13538630	Zm00001d002458	+	chr2	13537034	13538630	Zm00001eb072080	Zm00001eb072080	+	1596
Zm00001d002465	chr2	13563316	13564485	Zm00001d002465	+	chr2	13563316	13565372	Zm00001eb072120	Zm00001eb072120	+	1169
Zm00001d002477	chr2	13842084	13842686	Zm00001d002477	+	chr2	13842084	13842686	Zm00001eb072210	Zm00001eb072210	+	602
Zm00001d002500	chr2	14376058	14376318	Zm00001d002500	-	chr2	14376058	14379924	Zm00001eb072480	Zm00001eb072480	-	260
Zm00001d002503	chr2	14407950	14415642	Zm00001d002503	-	chr2	14407950	14415642	Zm00001eb072510	Zm00001eb072510	-	7692
Zm00001d002519	chr2	14909071	14910240	Zm00001d002519	-	chr2	14909071	14910264	Zm00001eb072640	Zm00001eb072640	-	1169
Zm00001d002520	chr2	14925451	14925753	Zm00001d002520	+	chr2	14925451	14925753	Zm00001eb072650	Zm00001eb072650	+	302
Zm00001d002524	chr2	15000904	15000972	Zm00001d002524	+	chr2	15000450	15000972	Zm00001eb072690	Zm00001eb072690	+	68
Zm00001d002532	chr2	15104770	15108163	Zm00001d002532	+	chr2	15104770	15108163	Zm00001eb072720	Zm00001eb072720	+	3393
Zm00001d002545	chr2	15376305	15378401	Zm00001d002545	-	chr2	15376305	15378401	Zm00001eb072870	Zm00001eb072870	-	2096
Zm00001d002547	chr2	15383858	15384271	Zm00001d002547	+	chr2	15383858	15384271	Zm00001eb072880	Zm00001eb072880	+	413
Zm00001d002550	chr2	15461589	15463400	Zm00001d002550	-	chr2	15461589	15463400	Zm00001eb072910	Zm00001eb072910	-	1811
Zm00001d002558	chr2	15553940	15554422	Zm00001d002558	+	chr2	15553940	15554422	Zm00001eb072980	Zm00001eb072980	+	482
Zm00001d002560	chr2	15602803	15607348	Zm00001d002560	-	chr2	15603210	15603957	Zm00001eb073000	Zm00001eb073000	-	747
Zm00001d002570	chr2	15877750	15879211	Zm00001d002570	+	chr2	15877750	15879211	Zm00001eb073110	Zm00001eb073110	+	1461
Zm00001d002584	chr2	16317243	16317615	Zm00001d002584	-	chr2	16317385	16334468	Zm00001eb073240	Zm00001eb073240	-	230
Zm00001d002610	chr2	16915194	16917034	Zm00001d002610	+	chr2	16915194	16917034	Zm00001eb073480	Zm00001eb073480	+	1840
Zm00001d002613	chr2	16970732	16973037	Zm00001d002613	-	chr2	16970732	16973037	Zm00001eb073500	Zm00001eb073500	-	2305
Zm00001d002614	chr2	16976773	16983359	Zm00001d002614	-	chr2	16976773	16980923	Zm00001eb073510	Zm00001eb073510	-	4150
Zm00001d002623	chr2	17264950	17266656	Zm00001d002623	-	chr2	17264950	17266656	Zm00001eb073590	Zm00001eb073590	-	1706
Zm00001d002634	chr2	17836525	17839349	Zm00001d002634	-	chr2	17836678	17837628	Zm00001eb073690	Zm00001eb073690	-	950
Zm00001d002669	chr2	19037535	19041336	Zm00001d002669	+	chr2	19037535	19041336	Zm00001eb073990	Zm00001eb073990	+	3801
Zm00001d002678	chr2	19278844	19288731	Zm00001d002678	-	chr2	19285260	19288731	Zm00001eb074080	Zm00001eb074080	-	3471
Zm00001d002679	chr2	19291231	19294487	Zm00001d002679	-	chr2	19291231	19294487	Zm00001eb074090	Zm00001eb074090	-	3256
Zm00001d002693	chr2	19621047	19627226	Zm00001d002693	-	.	-1	-1	.	-1	.	0
Zm00001d002714	chr2	20224149	20225039	Zm00001d002714	+	chr2	20224149	20224851	Zm00001eb074420	Zm00001eb074420	+	702
Zm00001d002735	chr2	20877742	20880927	Zm00001d002735	-	chr2	20877742	20880564	Zm00001eb074620	Zm00001eb074620	-	2822
Zm00001d002736	chr2	20885144	20887766	Zm00001d002736	+	chr2	20885144	20887766	Zm00001eb074640	Zm00001eb074640	+	2622
Zm00001d002738	chr2	21258689	21259640	Zm00001d002738	-	chr2	21258689	21259640	Zm00001eb074660	Zm00001eb074660	-	951
Zm00001d002740	chr2	21344530	21345367	Zm00001d002740	-	chr2	21344979	21345646	Zm00001eb074690	Zm00001eb074690	-	388
Zm00001d002743	chr2	21424194	21424691	Zm00001d002743	-	chr2	21422899	21424691	Zm00001eb074720	Zm00001eb074720	-	497
Zm00001d002756	chr2	21862492	21863805	Zm00001d002756	+	chr2	21862492	21863805	Zm00001eb074850	Zm00001eb074850	+	1313
Zm00001d002771	chr2	22315525	22317109	Zm00001d002771	-	chr2	22315460	22317109	Zm00001eb074990	Zm00001eb074990	-	1584
Zm00001d002774	chr2	22393222	22393479	Zm00001d002774	+	.	-1	-1	.	-1	.	0
Zm00001d002815	chr2	23631503	23632344	Zm00001d002815	-	chr2	23631503	23632344	Zm00001eb075370	Zm00001eb075370	-	841
Zm00001d002823	chr2	23916998	23925575	Zm00001d002823	-	chr2	23916998	23925575	Zm00001eb075450	Zm00001eb075450	-	8577
Zm00001d002828	chr2	24152251	24153581	Zm00001d002828	+	chr2	24152251	24153578	Zm00001eb075510	Zm00001eb075510	+	1327
Zm00001d002844	chr2	24582065	24583148	Zm00001d002844	+	chr2	24582065	24583148	Zm00001eb075650	Zm00001eb075650	+	1083
Zm00001d002875	chr2	25413446	25416389	Zm00001d002875	+	chr2	25415397	25416028	Zm00001eb075980	Zm00001eb075980	+	631
Zm00001d002884	chr2	25826867	25827511	Zm00001d002884	+	chr2	25826867	25827511	Zm00001eb076070	Zm00001eb076070	+	644
Zm00001d002888	chr2	26017510	26019110	Zm00001d002888	+	chr2	26017510	26019110	Zm00001eb076110	Zm00001eb076110	+	1600
Zm00001d002956	chr2	28215688	28218336	Zm00001d002956	-	chr2	28215688	28218336	Zm00001eb076730	Zm00001eb076730	-	2648
Zm00001d002970	chr2	28481691	28485556	Zm00001d002970	+	chr2	28481691	28485556	Zm00001eb076850	Zm00001eb076850	+	3865
Zm00001d002982	chr2	28997572	28998413	Zm00001d002982	-	chr2	28997596	28998413	Zm00001eb076960	Zm00001eb076960	-	817
Zm00001d002990	chr2	29082101	29083045	Zm00001d002990	+	.	-1	-1	.	-1	.	0
Zm00001d002999	chr2	29272090	29274433	Zm00001d002999	+	chr2	29272090	29274433	Zm00001eb077080	Zm00001eb077080	+	2343
Zm00001d003015	chr2	29564645	29566962	Zm00001d003015	+	chr2	29564645	29566962	Zm00001eb077220	Zm00001eb077220	+	2317
Zm00001d003035	chr2	30133120	30134168	Zm00001d003035	+	.	-1	-1	.	-1	.	0
Zm00001d003052	chr2	30614318	30616733	Zm00001d003052	+	chr2	30614318	30616733	Zm00001eb077580	Zm00001eb077580	+	2415
Zm00001d003088	chr2	31910137	31911080	Zm00001d003088	+	chr2	31909780	31911080	Zm00001eb077910	Zm00001eb077910	+	943
Zm00001d003118	chr2	32839779	32842257	Zm00001d003118	+	chr2	32839779	32842257	Zm00001eb078130	Zm00001eb078130	+	2478
Zm00001d003139	chr2	33485891	33486561	Zm00001d003139	-	chr2	33485891	33486561	Zm00001eb078280	Zm00001eb078280	-	670
Zm00001d003148	chr2	33827080	33830163	Zm00001d003148	+	chr2	33827080	33830163	Zm00001eb078360	Zm00001eb078360	+	3083
Zm00001d003167	chr2	34390739	34392033	Zm00001d003167	+	chr2	34390739	34392186	Zm00001eb078530	Zm00001eb078530	+	1294
Zm00001d003190	chr2	35084709	35085654	Zm00001d003190	+	chr2	35084709	35085654	Zm00001eb078730	Zm00001eb078730	+	945
Zm00001d003212	chr2	36122182	36124271	Zm00001d003212	-	chr2	36122182	36124271	Zm00001eb078880	Zm00001eb078880	-	2089
Zm00001d003219	chr2	36465827	36466387	Zm00001d003219	-	chr2	36465827	36466387	Zm00001eb078930	Zm00001eb078930	-	560
Zm00001d003247	chr2	37826898	37829033	Zm00001d003247	+	chr2	37826898	37829033	Zm00001eb079170	Zm00001eb079170	+	2135
Zm00001d003264	chr2	38345112	38346320	Zm00001d003264	-	chr2	38345112	38346320	Zm00001eb079320	Zm00001eb079320	-	1208
Zm00001d003267	chr2	38407995	38413298	Zm00001d003267	+	.	-1	-1	.	-1	.	0
Zm00001d003276	chr2	38575421	38576342	Zm00001d003276	-	chr2	38575421	38576342	Zm00001eb079420	Zm00001eb079420	-	921
Zm00001d003280	chr2	38647386	38650690	Zm00001d003280	+	chr2	38649231	38650690	Zm00001eb079460	Zm00001eb079460	+	1459
Zm00001d003306	chr2	39654956	39655495	Zm00001d003306	-	chr2	39654956	39655573	Zm00001eb079740	Zm00001eb079740	-	539
Zm00001d003320	chr2	40137433	40137925	Zm00001d003320	+	chr2	40137433	40137925	Zm00001eb079890	Zm00001eb079890	+	492
Zm00001d003409	chr2	43555044	43557599	Zm00001d003409	-	chr2	43530415	43557599	Zm00001eb080670	Zm00001eb080670	-	2555
Zm00001d003411	chr2	43566067	43567506	Zm00001d003411	-	chr2	43566067	43567431	Zm00001eb080680	Zm00001eb080680	-	1364
Zm00001d003414	chr2	43680178	43681467	Zm00001d003414	-	chr2	43680178	43681467	Zm00001eb080700	Zm00001eb080700	-	1289
Zm00001d003429	chr2	44075217	44076856	Zm00001d003429	-	chr2	44075217	44076626	Zm00001eb080840	Zm00001eb080840	-	1409
Zm00001d003431	chr2	44180061	44181980	Zm00001d003431	+	chr2	44180061	44181826	Zm00001eb080860	Zm00001eb080860	+	1765
Zm00001d003435	chr2	44290763	44291050	Zm00001d003435	+	.	-1	-1	.	-1	.	0
Zm00001d003513	chr2	46249542	46250176	Zm00001d003513	-	chr2	46249671	46250176	Zm00001eb081460	Zm00001eb081460	-	505
Zm00001d003531	chr2	46786890	46789044	Zm00001d003531	+	chr2	46786994	46789040	Zm00001eb081600	Zm00001eb081600	+	2046
Zm00001d003544	chr2	47575358	47576728	Zm00001d003544	-	.	-1	-1	.	-1	.	0
Zm00001d003552	chr2	47768813	47769246	Zm00001d003552	+	chr2	47768813	47769246	Zm00001eb081750	Zm00001eb081750	+	433
Zm00001d003567	chr2	48197071	48198820	Zm00001d003567	-	chr2	48197071	48198351	Zm00001eb081880	Zm00001eb081880	-	1280
Zm00001d003569	chr2	48302628	48307345	Zm00001d003569	+	chr2	48302628	48307345	Zm00001eb081900	Zm00001eb081900	+	4717
Zm00001d003571	chr2	48382057	48383013	Zm00001d003571	-	chr2	48382057	48383013	Zm00001eb081920	Zm00001eb081920	-	956
Zm00001d003593	chr2	49138753	49139229	Zm00001d003593	+	chr2	49138753	49139229	Zm00001eb082100	Zm00001eb082100	+	476
Zm00001d003606	chr2	49721411	49722864	Zm00001d003606	+	chr2	49721411	49722864	Zm00001eb082200	Zm00001eb082200	+	1453
Zm00001d003631	chr2	50977491	50978059	Zm00001d003631	-	chr2	50977491	50978054	Zm00001eb082480	Zm00001eb082480	-	563
Zm00001d003639	chr2	51225777	51226250	Zm00001d003639	+	.	-1	-1	.	-1	.	0
Zm00001d003667	chr2	53166422	53167752	Zm00001d003667	+	chr2	53166422	53167752	Zm00001eb082790	Zm00001eb082790	+	1330
Zm00001d003668	chr2	53173372	53175687	Zm00001d003668	-	chr2	53173372	53175687	Zm00001eb082810	Zm00001eb082810	-	2315
Zm00001d003712	chr2	55805436	55806455	Zm00001d003712	+	chr2	55805997	55806418	Zm00001eb083180	Zm00001eb083180	+	421
Zm00001d003725	chr2	56455318	56455728	Zm00001d003725	-	chr2	56455318	56455728	Zm00001eb083310	Zm00001eb083310	-	410
Zm00001d003751	chr2	57423117	57423917	Zm00001d003751	+	chr2	57423117	57423917	Zm00001eb083540	Zm00001eb083540	+	800
Zm00001d003760	chr2	57693387	57693864	Zm00001d003760	-	chr2	57693608	57693817	Zm00001eb083620	Zm00001eb083620	-	209
Zm00001d003776	chr2	58740626	58742595	Zm00001d003776	+	chr2	58739723	58742595	Zm00001eb083790	Zm00001eb083790	+	1969
Zm00001d003777	chr2	58816450	58816786	Zm00001d003777	+	chr2	58816382	58816786	Zm00001eb083800	Zm00001eb083800	+	336
Zm00001d003780	chr2	58994916	58995725	Zm00001d003780	-	chr2	58994916	58995725	Zm00001eb083830	Zm00001eb083830	-	809
Zm00001d003784	chr2	59078264	59080865	Zm00001d003784	-	chr2	59078256	59080865	Zm00001eb083870	Zm00001eb083870	-	2601
Zm00001d003785	chr2	59165216	59166238	Zm00001d003785	-	.	-1	-1	.	-1	.	0
Zm00001d003796	chr2	59535228	59536750	Zm00001d003796	-	chr2	59535228	59536750	Zm00001eb083940	Zm00001eb083940	-	1522
Zm00001d003804	chr2	59778131	59779426	Zm00001d003804	+	chr2	59778131	59779426	Zm00001eb084030	Zm00001eb084030	+	1295
Zm00001d003806	chr2	59926786	59927052	Zm00001d003806	-	chr2	59926786	59927052	Zm00001eb084040	Zm00001eb084040	-	266
Zm00001d003823	chr2	60778674	60780263	Zm00001d003823	-	chr2	60778677	60780512	Zm00001eb084190	Zm00001eb084190	-	1586
Zm00001d003830	chr2	61055424	61056704	Zm00001d003830	-	chr2	61055424	61056704	Zm00001eb084260	Zm00001eb084260	-	1280
Zm00001d003866	chr2	64455037	64455928	Zm00001d003866	-	chr2	64455037	64456682	Zm00001eb084690	Zm00001eb084690	-	891
Zm00001d003877	chr2	65006680	65007162	Zm00001d003877	+	chr2	65006680	65007183	Zm00001eb084740	Zm00001eb084740	+	482
Zm00001d003930	chr2	70113453	70113848	Zm00001d003930	-	chr2	70113453	70113848	Zm00001eb085230	Zm00001eb085230	-	395
Zm00001d003938	chr2	70886510	70887947	Zm00001d003938	-	chr2	70886460	70888102	Zm00001eb085280	Zm00001eb085280	-	1437
Zm00001d003982	chr2	73926656	73927665	Zm00001d003982	+	.	-1	-1	.	-1	.	0
Zm00001d003983	chr2	73932369	73934228	Zm00001d003983	-	chr2	73932155	73934228	Zm00001eb085560	Zm00001eb085560	-	1859
Zm00001d004048	chr2	79364738	79365658	Zm00001d004048	+	chr2	79364738	79365658	Zm00001eb086030	Zm00001eb086030	+	920
Zm00001d004088	chr2	81832118	81834175	Zm00001d004088	+	chr2	81832118	81833075	Zm00001eb086300	Zm00001eb086300	+	957
Zm00001d004109	chr2	83591698	83595597	Zm00001d004109	-	chr2	83591538	83609922	Zm00001eb086470	Zm00001eb086470	-	3899
Zm00001d004135	chr2	85840613	85845348	Zm00001d004135	+	chr2	85843052	85844068	Zm00001eb086670	Zm00001eb086670	+	1016
Zm00001d004166	chr2	88781483	88782469	Zm00001d004166	-	.	-1	-1	.	-1	.	0
Zm00001d004209	chr2	91917725	91918858	Zm00001d004209	-	chr2	91917725	91918858	Zm00001eb087100	Zm00001eb087100	-	1133
Zm00001d004220	chr2	93027098	93027897	Zm00001d004220	-	chr2	93026247	93027897	Zm00001eb087160	Zm00001eb087160	-	799
Zm00001d004248	chr2	95947009	95948478	Zm00001d004248	-	chr2	95947009	95948478	Zm00001eb087380	Zm00001eb087380	-	1469
Zm00001d004287	chr2	100463109	100464278	Zm00001d004287	-	chr2	100463109	100464278	Zm00001eb087630	Zm00001eb087630	-	1169
Zm00001d004322	chr2	103205985	103206286	Zm00001d004322	+	chr2	103206126	103206431	Zm00001eb087810	Zm00001eb087810	+	160
Zm00001d004323	chr2	103258325	103259367	Zm00001d004323	+	.	-1	-1	.	-1	.	0
Zm00001d004325	chr2	103484328	103486665	Zm00001d004325	+	.	-1	-1	.	-1	.	0
Zm00001d004326	chr2	103566938	103567440	Zm00001d004326	-	chr2	103566732	103566986	Zm00001eb087840	Zm00001eb087840	-	48
Zm00001d004335	chr2	104338194	104343113	Zm00001d004335	-	chr2	104338194	104343113	Zm00001eb087920	Zm00001eb087920	-	4919
Zm00001d004342	chr2	105229865	105232179	Zm00001d004342	-	chr2	105229865	105232179	Zm00001eb087960	Zm00001eb087960	-	2314
Zm00001d004346	chr2	105494381	105495625	Zm00001d004346	-	chr2	105494381	105495625	Zm00001eb088000	Zm00001eb088000	-	1244
Zm00001d004348	chr2	105857508	105859457	Zm00001d004348	+	chr2	105857508	105859457	Zm00001eb088020	Zm00001eb088020	+	1949
Zm00001d004357	chr2	106146770	106150162	Zm00001d004357	+	chr2	106146770	106150162	Zm00001eb088070	Zm00001eb088070	+	3392
Zm00001d004362	chr2	106630498	106630869	Zm00001d004362	+	.	-1	-1	.	-1	.	0
Zm00001d004389	chr2	108300108	108301294	Zm00001d004389	+	chr2	108280290	108301294	Zm00001eb088290	Zm00001eb088290	+	1186
Zm00001d004413	chr2	110406202	110407940	Zm00001d004413	+	chr2	110406202	110407940	Zm00001eb088500	Zm00001eb088500	+	1738
Zm00001d004418	chr2	110541676	110542751	Zm00001d004418	-	chr2	110541978	110542751	Zm00001eb088570	Zm00001eb088570	-	773
Zm00001d004426	chr2	110999459	111000026	Zm00001d004426	-	chr2	110999291	111000026	Zm00001eb088630	Zm00001eb088630	-	567
Zm00001d004436	chr2	111781195	111783393	Zm00001d004436	-	.	-1	-1	.	-1	.	0
Zm00001d004443	chr2	112284542	112285713	Zm00001d004443	-	chr2	112284297	112285713	Zm00001eb088800	Zm00001eb088800	-	1171
Zm00001d004480	chr2	114517893	114518845	Zm00001d004480	-	chr2	114517893	114518845	Zm00001eb089080	Zm00001eb089080	-	952
Zm00001d004497	chr2	115228030	115229581	Zm00001d004497	-	chr2	115228030	115229581	Zm00001eb089250	Zm00001eb089250	-	1551
Zm00001d004519	chr2	116360266	116361061	Zm00001d004519	-	.	-1	-1	.	-1	.	0
Zm00001d004525	chr2	116648441	116651700	Zm00001d004525	-	chr2	116648441	116651700	Zm00001eb089480	Zm00001eb089480	-	3259
Zm00001d004602	chr2	121416184	121416399	Zm00001d004602	-	chr2	121416184	121416399	Zm00001eb090080	Zm00001eb090080	-	215
Zm00001d004635	chr2	124393979	124397994	Zm00001d004635	+	chr2	124393979	124397994	Zm00001eb090350	Zm00001eb090350	+	4015
Zm00001d004689	chr2	131169751	131170921	Zm00001d004689	-	chr2	131169751	131170921	Zm00001eb090830	Zm00001eb090830	-	1170
Zm00001d004700	chr2	132047382	132047806	Zm00001d004700	+	chr2	132047382	132047806	Zm00001eb090910	Zm00001eb090910	+	424
Zm00001d004771	chr2	137951310	137961490	Zm00001d004771	-	chr2	137951655	137961490	Zm00001eb091490	Zm00001eb091490	-	9835
Zm00001d004822	chr2	140637207	140638386	Zm00001d004822	-	chr2	140636811	140638386	Zm00001eb091800	Zm00001eb091800	-	1179
Zm00001d004843	chr2	143204517	143205153	Zm00001d004843	+	chr2	143204590	143205121	Zm00001eb091920	Zm00001eb091920	+	531
Zm00001d004874	chr2	145012847	145013464	Zm00001d004874	-	chr2	145012847	145013464	Zm00001eb092220	Zm00001eb092220	-	617
Zm00001d004885	chr2	146273986	146278754	Zm00001d004885	-	chr2	146275951	146278214	Zm00001eb092450	Zm00001eb092450	-	2263
Zm00001d004948	chr2	149895494	149899690	Zm00001d004948	+	chr2	149895494	149899690	Zm00001eb093010	Zm00001eb093010	+	4196
Zm00001d004955	chr2	150330650	150334190	Zm00001d004955	+	chr2	150330650	150334190	Zm00001eb093110	Zm00001eb093110	+	3540
Zm00001d005030	chr2	154573052	154573775	Zm00001d005030	-	chr2	154566533	154573456	Zm00001eb093680	Zm00001eb093680	-	404
Zm00001d005032	chr2	154781682	154784234	Zm00001d005032	-	chr2	154781682	154784234	Zm00001eb093710	Zm00001eb093710	-	2552
Zm00001d005146	chr2	160906862	160907209	Zm00001d005146	-	chr2	160906862	160907209	Zm00001eb094610	Zm00001eb094610	-	347
Zm00001d005189	chr2	162889996	162893301	Zm00001d005189	-	chr2	162889996	162893202	Zm00001eb095010	Zm00001eb095010	-	3206
Zm00001d005278	chr2	166927495	166929270	Zm00001d005278	-	.	-1	-1	.	-1	.	0
Zm00001d005287	chr2	167470912	167471088	Zm00001d005287	-	.	-1	-1	.	-1	.	0
Zm00001d005306	chr2	168627773	168631837	Zm00001d005306	-	chr2	168627773	168631837	Zm00001eb095750	Zm00001eb095750	-	4064
Zm00001d005377	chr2	171206408	171207364	Zm00001d005377	-	chr2	171206408	171207679	Zm00001eb096390	Zm00001eb096390	-	956
Zm00001d005391	chr2	171738658	171739989	Zm00001d005391	-	chr2	171738658	171739989	Zm00001eb096480	Zm00001eb096480	-	1331
Zm00001d005423	chr2	173201611	173202109	Zm00001d005423	+	.	-1	-1	.	-1	.	0
Zm00001d005464	chr2	174841460	174842200	Zm00001d005464	+	chr2	174841460	174842200	Zm00001eb097010	Zm00001eb097010	+	740
