v4geneID	Chromosome	Start	Stop	v4geneID.1	X..	v5chromosome	v5start	v5stop	v5geneID	v5geneID.1	v5..	v5length
Zm00001d001944	chr2	3507359	3509611	Zm00001d001944	+	chr2	3507359	3509611	Zm00001eb067260	Zm00001eb067260	+	2252
Zm00001d001945	chr2	3631826	3636561	Zm00001d001945	+	chr2	3631829	3636561	Zm00001eb067270	Zm00001eb067270	+	4732
Zm00001d001960	chr2	3821975	3823262	Zm00001d001960	+	chr2	3821831	3823262	Zm00001eb067380	Zm00001eb067380	+	1287
Zm00001d001970	chr2	3970429	3972758	Zm00001d001970	-	chr2	3970429	3971493	Zm00001eb067470	Zm00001eb067470	-	1064
Zm00001d001971	chr2	3975795	3977590	Zm00001d001971	+	.	-1	-1	.	-1	.	0
Zm00001d001977	chr2	4057403	4059030	Zm00001d001977	+	chr2	4057403	4059030	Zm00001eb067520	Zm00001eb067520	+	1627
Zm00001d001984	chr2	4215006	4217296	Zm00001d001984	-	chr2	4215006	4217077	Zm00001eb067590	Zm00001eb067590	-	2071
Zm00001d001989	chr2	4268406	4269016	Zm00001d001989	-	chr2	4268406	4269016	Zm00001eb067620	Zm00001eb067620	-	610
Zm00001d001993	chr2	4332685	4334478	Zm00001d001993	-	chr2	4332685	4334439	Zm00001eb067640	Zm00001eb067640	-	1754
Zm00001d002001	chr2	4419473	4419819	Zm00001d002001	-	.	-1	-1	.	-1	.	0
Zm00001d002004	chr2	4440157	4442456	Zm00001d002004	+	chr2	4440157	4442456	Zm00001eb067730	Zm00001eb067730	+	2299
Zm00001d002013	chr2	4602205	4603559	Zm00001d002013	-	chr2	4602202	4603559	Zm00001eb067820	Zm00001eb067820	-	1354
Zm00001d002016	chr2	4654254	4654688	Zm00001d002016	+	chr2	4654503	4654688	Zm00001eb067840	Zm00001eb067840	+	185
Zm00001d002019	chr2	4694249	4695587	Zm00001d002019	-	chr2	4694249	4695587	Zm00001eb067890	Zm00001eb067890	-	1338
Zm00001d002037	chr2	5115103	5116422	Zm00001d002037	-	chr2	5115103	5116449	Zm00001eb068140	Zm00001eb068140	-	1319
Zm00001d002038	chr2	5124203	5128343	Zm00001d002038	+	chr2	5124203	5128343	Zm00001eb068160	Zm00001eb068160	+	4140
Zm00001d002039	chr2	5129615	5132605	Zm00001d002039	-	chr2	5128913	5132605	Zm00001eb068170	Zm00001eb068170	-	2990
Zm00001d002042	chr2	5182496	5183906	Zm00001d002042	+	chr2	5182496	5183906	Zm00001eb068210	Zm00001eb068210	+	1410
Zm00001d002043	chr2	5184943	5190692	Zm00001d002043	+	chr2	5189860	5190692	Zm00001eb068220	Zm00001eb068220	+	832
Zm00001d002044	chr2	5192574	5193957	Zm00001d002044	-	chr2	5193401	5198628	Zm00001eb068230	Zm00001eb068230	-	556
Zm00001d002048	chr2	5216876	5218500	Zm00001d002048	+	.	-1	-1	.	-1	.	0
Zm00001d002050	chr2	5221864	5222368	Zm00001d002050	+	chr2	5221864	5222341	Zm00001eb068250	Zm00001eb068250	+	477
Zm00001d002055	chr2	5302867	5303415	Zm00001d002055	+	chr2	5302840	5303415	Zm00001eb068310	Zm00001eb068310	+	548
Zm00001d002062	chr2	5362480	5364185	Zm00001d002062	-	.	-1	-1	.	-1	.	0
Zm00001d002066	chr2	5530102	5531109	Zm00001d002066	-	chr2	5530102	5531109	Zm00001eb068410	Zm00001eb068410	-	1007
Zm00001d002067	chr2	5551262	5551697	Zm00001d002067	-	chr2	5532422	5551697	Zm00001eb068420	Zm00001eb068420	-	435
Zm00001d002069	chr2	5627205	5627462	Zm00001d002069	+	chr2	5627205	5627462	Zm00001eb068460	Zm00001eb068460	+	257
Zm00001d002072	chr2	5676101	5676420	Zm00001d002072	+	chr2	5676067	5676420	Zm00001eb068480	Zm00001eb068480	+	319
Zm00001d002074	chr2	5711037	5711348	Zm00001d002074	+	chr2	5711037	5711348	Zm00001eb068510	Zm00001eb068510	+	311
Zm00001d002082	chr2	5894272	5900786	Zm00001d002082	-	chr2	5894272	5900786	Zm00001eb068550	Zm00001eb068550	-	6514
Zm00001d002094	chr2	6135127	6135663	Zm00001d002094	+	chr2	6135052	6135663	Zm00001eb068660	Zm00001eb068660	+	536
Zm00001d002097	chr2	6217961	6218654	Zm00001d002097	-	chr2	6216728	6218654	Zm00001eb068700	Zm00001eb068700	-	693
Zm00001d002100	chr2	6242427	6243379	Zm00001d002100	+	chr2	6242427	6243379	Zm00001eb068730	Zm00001eb068730	+	952
Zm00001d002106	chr2	6268612	6269743	Zm00001d002106	-	chr2	6268936	6269743	Zm00001eb068790	Zm00001eb068790	-	807
Zm00001d002108	chr2	6296925	6297427	Zm00001d002108	+	chr2	6296925	6297464	Zm00001eb068810	Zm00001eb068810	+	502
Zm00001d002110	chr2	6305883	6308421	Zm00001d002110	-	chr2	6302096	6308421	Zm00001eb068820	Zm00001eb068820	-	2538
Zm00001d002111	chr2	6309863	6314360	Zm00001d002111	+	chr2	6312447	6314360	Zm00001eb068830	Zm00001eb068830	+	1913
Zm00001d002119	chr2	6388651	6395043	Zm00001d002119	+	chr2	6388651	6395043	Zm00001eb068880	Zm00001eb068880	+	6392
Zm00001d002121	chr2	6407856	6408316	Zm00001d002121	+	chr2	6407856	6408316	Zm00001eb068900	Zm00001eb068900	+	460
Zm00001d002124	chr2	6532453	6534402	Zm00001d002124	-	chr2	6532453	6534402	Zm00001eb068950	Zm00001eb068950	-	1949
Zm00001d002127	chr2	6580007	6582553	Zm00001d002127	-	chr2	6580224	6580607	Zm00001eb068990	Zm00001eb068990	-	383
Zm00001d002131	chr2	6691871	6692605	Zm00001d002131	-	.	-1	-1	.	-1	.	0
Zm00001d002132	chr2	6699887	6700205	Zm00001d002132	-	chr2	6699887	6700205	Zm00001eb069040	Zm00001eb069040	-	318
Zm00001d002133	chr2	6705825	6706130	Zm00001d002133	+	chr2	6705825	6706130	Zm00001eb069050	Zm00001eb069050	+	305
Zm00001d002136	chr2	6759945	6760883	Zm00001d002136	-	chr2	6759952	6761034	Zm00001eb069080	Zm00001eb069080	-	931
Zm00001d002143	chr2	6900788	6905163	Zm00001d002143	+	chr2	6900788	6905163	Zm00001eb069140	Zm00001eb069140	+	4375
Zm00001d002146	chr2	7036776	7039436	Zm00001d002146	-	chr2	7036776	7039436	Zm00001eb069180	Zm00001eb069180	-	2660
Zm00001d002158	chr2	7149859	7150125	Zm00001d002158	+	chr2	7149859	7150125	Zm00001eb069310	Zm00001eb069310	+	266
Zm00001d002159	chr2	7152182	7152463	Zm00001d002159	+	chr2	7152182	7152463	Zm00001eb069320	Zm00001eb069320	+	281
Zm00001d002161	chr2	7159250	7159510	Zm00001d002161	+	.	-1	-1	.	-1	.	0
Zm00001d002173	chr2	7455732	7457858	Zm00001d002173	-	chr2	7454795	7457858	Zm00001eb069480	Zm00001eb069480	-	2126
Zm00001d002174	chr2	7503043	7512041	Zm00001d002174	+	chr2	7503073	7512041	Zm00001eb069490	Zm00001eb069490	+	8968
Zm00001d002178	chr2	7563554	7567505	Zm00001d002178	+	chr2	7563751	7567505	Zm00001eb069530	Zm00001eb069530	+	3754
Zm00001d002179	chr2	7641769	7643136	Zm00001d002179	-	chr2	7641769	7643136	Zm00001eb069540	Zm00001eb069540	-	1367
Zm00001d002181	chr2	7662662	7664652	Zm00001d002181	+	chr2	7662656	7665606	Zm00001eb069550	Zm00001eb069550	+	1990
Zm00001d002182	chr2	7667767	7668789	Zm00001d002182	-	chr2	7668274	7668744	Zm00001eb069560	Zm00001eb069560	-	470
Zm00001d002187	chr2	7879653	7882313	Zm00001d002187	-	.	-1	-1	.	-1	.	0
Zm00001d002188	chr2	7884434	7885966	Zm00001d002188	+	chr2	7885371	7885990	Zm00001eb069610	Zm00001eb069610	+	595
Zm00001d002191	chr2	7919251	7921832	Zm00001d002191	+	chr2	7919251	7921832	Zm00001eb069630	Zm00001eb069630	+	2581
Zm00001d002198	chr2	8097111	8100916	Zm00001d002198	+	chr2	8096571	8101239	Zm00001eb069670	Zm00001eb069670	+	3805
Zm00001d002199	chr2	8389867	8393922	Zm00001d002199	+	chr2	8389885	8393922	Zm00001eb069690	Zm00001eb069690	+	4037
Zm00001d002202	chr2	8495355	8496717	Zm00001d002202	+	chr2	8495355	8496717	Zm00001eb069710	Zm00001eb069710	+	1362
Zm00001d002213	chr2	8571729	8572127	Zm00001d002213	-	.	-1	-1	.	-1	.	0
Zm00001d002215	chr2	8578866	8579661	Zm00001d002215	-	chr2	8578866	8579215	Zm00001eb069860	Zm00001eb069860	-	349
Zm00001d002232	chr2	8712150	8713517	Zm00001d002232	+	chr2	8712150	8713517	Zm00001eb070040	Zm00001eb070040	+	1367
Zm00001d002252	chr2	9245037	9249081	Zm00001d002252	+	chr2	9245037	9249081	Zm00001eb070190	Zm00001eb070190	+	4044
Zm00001d002260	chr2	9352431	9355736	Zm00001d002260	-	chr2	9352431	9354844	Zm00001eb070270	Zm00001eb070270	-	2413
Zm00001d002276	chr2	9579514	9579993	Zm00001d002276	+	.	-1	-1	.	-1	.	0
Zm00001d002278	chr2	9690200	9692975	Zm00001d002278	-	chr2	9692541	9692975	Zm00001eb070430	Zm00001eb070430	-	434
Zm00001d002279	chr2	9699531	9701428	Zm00001d002279	+	.	-1	-1	.	-1	.	0
Zm00001d002280	chr2	9733672	9742429	Zm00001d002280	-	.	-1	-1	.	-1	.	0
Zm00001d002287	chr2	9877485	9881151	Zm00001d002287	+	chr2	9877485	9881151	Zm00001eb070510	Zm00001eb070510	+	3666
Zm00001d002288	chr2	9882126	9883678	Zm00001d002288	-	chr2	9882126	9883249	Zm00001eb070520	Zm00001eb070520	-	1123
Zm00001d002290	chr2	9927534	9927992	Zm00001d002290	-	.	-1	-1	.	-1	.	0
Zm00001d002299	chr2	10013337	10032426	Zm00001d002299	+	chr2	10013337	10032426	Zm00001eb070580	Zm00001eb070580	+	19089
Zm00001d002305	chr2	10066556	10070925	Zm00001d002305	-	chr2	10066802	10068096	Zm00001eb070670	Zm00001eb070670	-	1294
Zm00001d002307	chr2	10262914	10263705	Zm00001d002307	+	chr2	10262914	10263705	Zm00001eb070680	Zm00001eb070680	+	791
Zm00001d002309	chr2	10277724	10280990	Zm00001d002309	+	chr2	10277724	10282469	Zm00001eb070700	Zm00001eb070700	+	3266
Zm00001d002312	chr2	10368490	10371552	Zm00001d002312	+	chr2	10368490	10371552	Zm00001eb070720	Zm00001eb070720	+	3062
Zm00001d002323	chr2	10487369	10491121	Zm00001d002323	-	chr2	10487369	10491121	Zm00001eb070820	Zm00001eb070820	-	3752
Zm00001d002328	chr2	10725074	10725748	Zm00001d002328	-	chr2	10725320	10725748	Zm00001eb070880	Zm00001eb070880	-	428
Zm00001d002346	chr2	10925434	10929177	Zm00001d002346	-	chr2	10925434	10929177	Zm00001eb071040	Zm00001eb071040	-	3743
Zm00001d002347	chr2	10933861	10934298	Zm00001d002347	-	chr2	10933861	10934298	Zm00001eb071050	Zm00001eb071050	-	437
Zm00001d002349	chr2	10950387	10954474	Zm00001d002349	-	chr2	10950387	10954474	Zm00001eb071070	Zm00001eb071070	-	4087
Zm00001d002353	chr2	11019577	11022169	Zm00001d002353	-	chr2	11019577	11022169	Zm00001eb071110	Zm00001eb071110	-	2592
Zm00001d002360	chr2	11114495	11115490	Zm00001d002360	-	chr2	11114495	11115490	Zm00001eb071160	Zm00001eb071160	-	995
Zm00001d002364	chr2	11182600	11183268	Zm00001d002364	-	chr2	11182600	11183268	Zm00001eb071190	Zm00001eb071190	-	668
Zm00001d002367	chr2	11324088	11325562	Zm00001d002367	+	chr2	11324436	11325000	Zm00001eb071220	Zm00001eb071220	+	564
Zm00001d002370	chr2	11422872	11426273	Zm00001d002370	-	chr2	11422872	11426273	Zm00001eb071250	Zm00001eb071250	-	3401
Zm00001d002374	chr2	11615813	11616316	Zm00001d002374	-	chr2	11615813	11616316	Zm00001eb071310	Zm00001eb071310	-	503
Zm00001d002378	chr2	11717221	11720976	Zm00001d002378	+	chr2	11717386	11720976	Zm00001eb071370	Zm00001eb071370	+	3590
Zm00001d002392	chr2	12059305	12062161	Zm00001d002392	+	.	-1	-1	.	-1	.	0
Zm00001d002408	chr2	12333828	12335565	Zm00001d002408	-	chr2	12333828	12335565	Zm00001eb071630	Zm00001eb071630	-	1737
Zm00001d002410	chr2	12342776	12343861	Zm00001d002410	+	chr2	12342776	12343861	Zm00001eb071650	Zm00001eb071650	+	1085
Zm00001d002411	chr2	12384346	12385187	Zm00001d002411	+	.	-1	-1	.	-1	.	0
Zm00001d002425	chr2	12613123	12614614	Zm00001d002425	+	chr2	12613123	12614614	Zm00001eb071790	Zm00001eb071790	+	1491
Zm00001d002430	chr2	12706877	12707577	Zm00001d002430	+	.	-1	-1	.	-1	.	0
Zm00001d002432	chr2	12763785	12765321	Zm00001d002432	+	chr2	12763809	12765321	Zm00001eb071850	Zm00001eb071850	+	1512
Zm00001d002436	chr2	12846402	12848688	Zm00001d002436	+	chr2	12846402	12848688	Zm00001eb071890	Zm00001eb071890	+	2286
Zm00001d002439	chr2	12856746	12858688	Zm00001d002439	-	chr2	12856258	12858688	Zm00001eb071920	Zm00001eb071920	-	1942
Zm00001d002447	chr2	13148068	13152497	Zm00001d002447	-	chr2	13147520	13152497	Zm00001eb071980	Zm00001eb071980	-	4429
Zm00001d002449	chr2	13161896	13164419	Zm00001d002449	-	chr2	13157708	13164419	Zm00001eb071990	Zm00001eb071990	-	2523
Zm00001d002454	chr2	13434732	13436282	Zm00001d002454	+	chr2	13434732	13436282	Zm00001eb072030	Zm00001eb072030	+	1550
Zm00001d002455	chr2	13436863	13439543	Zm00001d002455	-	chr2	13437996	13438709	Zm00001eb072040	Zm00001eb072040	-	713
Zm00001d002456	chr2	13442945	13444324	Zm00001d002456	+	chr2	13443071	13444324	Zm00001eb072050	Zm00001eb072050	+	1253
Zm00001d002457	chr2	13458039	13459725	Zm00001d002457	+	chr2	13455826	13459725	Zm00001eb072060	Zm00001eb072060	+	1686
Zm00001d002458	chr2	13537034	13538630	Zm00001d002458	+	chr2	13537034	13538630	Zm00001eb072080	Zm00001eb072080	+	1596
Zm00001d002465	chr2	13563316	13564485	Zm00001d002465	+	chr2	13563316	13565372	Zm00001eb072120	Zm00001eb072120	+	1169
Zm00001d002469	chr2	13737123	13738114	Zm00001d002469	+	chr2	13736111	13740961	Zm00001eb072140	Zm00001eb072140	+	991
Zm00001d002473	chr2	13774850	13776452	Zm00001d002473	+	chr2	13774850	13776452	Zm00001eb072170	Zm00001eb072170	+	1602
Zm00001d002479	chr2	13852677	13853319	Zm00001d002479	-	chr2	13852677	13853319	Zm00001eb072230	Zm00001eb072230	-	642
Zm00001d002480	chr2	13873157	13875707	Zm00001d002480	+	chr2	13872834	13878827	Zm00001eb072240	Zm00001eb072240	+	2550
Zm00001d002483	chr2	13887583	13893274	Zm00001d002483	+	chr2	13887583	13893274	Zm00001eb072270	Zm00001eb072270	+	5691
Zm00001d002497	chr2	14279156	14284532	Zm00001d002497	-	.	-1	-1	.	-1	.	0
Zm00001d002498	chr2	14328574	14329821	Zm00001d002498	-	chr2	14328574	14329821	Zm00001eb072440	Zm00001eb072440	-	1247
Zm00001d002506	chr2	14443864	14444436	Zm00001d002506	+	chr2	14444083	14444436	Zm00001eb072540	Zm00001eb072540	+	353
Zm00001d002507	chr2	14505700	14507655	Zm00001d002507	-	chr2	14505700	14507655	Zm00001eb072550	Zm00001eb072550	-	1955
Zm00001d002514	chr2	14692592	14694857	Zm00001d002514	-	chr2	14692592	14694857	Zm00001eb072600	Zm00001eb072600	-	2265
Zm00001d002520	chr2	14925451	14925753	Zm00001d002520	+	chr2	14925451	14925753	Zm00001eb072650	Zm00001eb072650	+	302
Zm00001d002533	chr2	15139417	15140039	Zm00001d002533	+	chr2	15139417	15144295	Zm00001eb072730	Zm00001eb072730	+	622
Zm00001d002535	chr2	15167759	15168280	Zm00001d002535	+	chr2	15167759	15168280	Zm00001eb072750	Zm00001eb072750	+	521
Zm00001d002541	chr2	15249676	15253229	Zm00001d002541	-	chr2	15249676	15253229	Zm00001eb072830	Zm00001eb072830	-	3553
Zm00001d002547	chr2	15383858	15384271	Zm00001d002547	+	chr2	15383858	15384271	Zm00001eb072880	Zm00001eb072880	+	413
Zm00001d002554	chr2	15525234	15528308	Zm00001d002554	-	chr2	15525303	15527184	Zm00001eb072950	Zm00001eb072950	-	1881
Zm00001d002558	chr2	15553940	15554422	Zm00001d002558	+	chr2	15553940	15554422	Zm00001eb072980	Zm00001eb072980	+	482
Zm00001d002560	chr2	15602803	15607348	Zm00001d002560	-	chr2	15603210	15603957	Zm00001eb073000	Zm00001eb073000	-	747
Zm00001d002562	chr2	15684629	15685858	Zm00001d002562	+	chr2	15684629	15685858	Zm00001eb073010	Zm00001eb073010	+	1229
Zm00001d002568	chr2	15825157	15825621	Zm00001d002568	+	chr2	15825157	15825621	Zm00001eb073090	Zm00001eb073090	+	464
Zm00001d002570	chr2	15877750	15879211	Zm00001d002570	+	chr2	15877750	15879211	Zm00001eb073110	Zm00001eb073110	+	1461
Zm00001d002572	chr2	15902037	15905681	Zm00001d002572	+	chr2	15902037	15905681	Zm00001eb073120	Zm00001eb073120	+	3644
Zm00001d002577	chr2	16161075	16170581	Zm00001d002577	-	chr2	16161441	16171174	Zm00001eb073170	Zm00001eb073170	-	9140
Zm00001d002583	chr2	16231776	16233547	Zm00001d002583	+	chr2	16230310	16233547	Zm00001eb073220	Zm00001eb073220	+	1771
Zm00001d002584	chr2	16317243	16317615	Zm00001d002584	-	chr2	16317385	16334468	Zm00001eb073240	Zm00001eb073240	-	230
Zm00001d002600	chr2	16655084	16662897	Zm00001d002600	-	chr2	16655351	16662897	Zm00001eb073390	Zm00001eb073390	-	7546
Zm00001d002610	chr2	16915194	16917034	Zm00001d002610	+	chr2	16915194	16917034	Zm00001eb073480	Zm00001eb073480	+	1840
Zm00001d002614	chr2	16976773	16983359	Zm00001d002614	-	chr2	16976773	16980923	Zm00001eb073510	Zm00001eb073510	-	4150
Zm00001d002616	chr2	17027694	17030893	Zm00001d002616	-	chr2	17027694	17030893	Zm00001eb073530	Zm00001eb073530	-	3199
Zm00001d002620	chr2	17180680	17181318	Zm00001d002620	-	chr2	17180521	17181318	Zm00001eb073560	Zm00001eb073560	-	638
Zm00001d002626	chr2	17397659	17400023	Zm00001d002626	+	chr2	17397659	17400023	Zm00001eb073640	Zm00001eb073640	+	2364
Zm00001d002628	chr2	17438559	17440073	Zm00001d002628	-	.	-1	-1	.	-1	.	0
Zm00001d002634	chr2	17836525	17839349	Zm00001d002634	-	chr2	17836678	17837628	Zm00001eb073690	Zm00001eb073690	-	950
Zm00001d002645	chr2	18256674	18258580	Zm00001d002645	-	.	-1	-1	.	-1	.	0
Zm00001d002647	chr2	18262039	18264679	Zm00001d002647	-	chr2	18259456	18264679	Zm00001eb073770	Zm00001eb073770	-	2640
Zm00001d002665	chr2	18980322	18980879	Zm00001d002665	-	chr2	18980322	18981421	Zm00001eb073940	Zm00001eb073940	-	557
Zm00001d002674	chr2	19136572	19140118	Zm00001d002674	+	chr2	19138559	19139804	Zm00001eb074040	Zm00001eb074040	+	1245
Zm00001d002678	chr2	19278844	19288731	Zm00001d002678	-	chr2	19285260	19288731	Zm00001eb074080	Zm00001eb074080	-	3471
Zm00001d002679	chr2	19291231	19294487	Zm00001d002679	-	chr2	19291231	19294487	Zm00001eb074090	Zm00001eb074090	-	3256
Zm00001d002687	chr2	19490021	19491631	Zm00001d002687	+	chr2	19490021	19491631	Zm00001eb074170	Zm00001eb074170	+	1610
Zm00001d002691	chr2	19565643	19571205	Zm00001d002691	-	chr2	19565643	19570747	Zm00001eb074230	Zm00001eb074230	-	5104
Zm00001d002696	chr2	19661240	19663156	Zm00001d002696	-	chr2	19661240	19663156	Zm00001eb074280	Zm00001eb074280	-	1916
Zm00001d002701	chr2	19768472	19768894	Zm00001d002701	+	.	-1	-1	.	-1	.	0
Zm00001d002707	chr2	20057669	20059018	Zm00001d002707	-	chr2	20057669	20059066	Zm00001eb074370	Zm00001eb074370	-	1349
Zm00001d002712	chr2	20174931	20177788	Zm00001d002712	-	chr2	20175202	20177788	Zm00001eb074400	Zm00001eb074400	-	2586
Zm00001d002721	chr2	20628874	20629275	Zm00001d002721	-	chr2	20628874	20629275	Zm00001eb074480	Zm00001eb074480	-	401
Zm00001d002727	chr2	20708536	20710437	Zm00001d002727	+	chr2	20708536	20710437	Zm00001eb074540	Zm00001eb074540	+	1901
Zm00001d002729	chr2	20745076	20746358	Zm00001d002729	+	chr2	20745076	20746358	Zm00001eb074550	Zm00001eb074550	+	1282
Zm00001d002733	chr2	20865055	20865768	Zm00001d002733	-	chr2	20865055	20865768	Zm00001eb074600	Zm00001eb074600	-	713
Zm00001d002735	chr2	20877742	20880927	Zm00001d002735	-	chr2	20877742	20880564	Zm00001eb074620	Zm00001eb074620	-	2822
Zm00001d002736	chr2	20885144	20887766	Zm00001d002736	+	chr2	20885144	20887766	Zm00001eb074640	Zm00001eb074640	+	2622
Zm00001d002740	chr2	21344530	21345367	Zm00001d002740	-	chr2	21344979	21345646	Zm00001eb074690	Zm00001eb074690	-	388
Zm00001d002741	chr2	21349658	21351322	Zm00001d002741	+	chr2	21349658	21351322	Zm00001eb074700	Zm00001eb074700	+	1664
Zm00001d002747	chr2	21534474	21535232	Zm00001d002747	-	chr2	21534474	21535232	Zm00001eb074750	Zm00001eb074750	-	758
Zm00001d002755	chr2	21851108	21853913	Zm00001d002755	-	chr2	21851108	21853943	Zm00001eb074840	Zm00001eb074840	-	2805
Zm00001d002758	chr2	21967105	21972753	Zm00001d002758	-	chr2	21970407	21972753	Zm00001eb074880	Zm00001eb074880	-	2346
Zm00001d002773	chr2	22361104	22362007	Zm00001d002773	+	chr2	22361104	22362007	Zm00001eb075010	Zm00001eb075010	+	903
Zm00001d002776	chr2	22446418	22448129	Zm00001d002776	-	chr2	22446418	22448129	Zm00001eb075040	Zm00001eb075040	-	1711
Zm00001d002777	chr2	22463590	22466929	Zm00001d002777	+	.	-1	-1	.	-1	.	0
Zm00001d002784	chr2	22732737	22734234	Zm00001d002784	-	chr2	22732737	22734234	Zm00001eb075100	Zm00001eb075100	-	1497
Zm00001d002796	chr2	22976879	22980109	Zm00001d002796	-	chr2	22976879	22980109	Zm00001eb075190	Zm00001eb075190	-	3230
Zm00001d002806	chr2	23345601	23348833	Zm00001d002806	-	chr2	23345601	23348833	Zm00001eb075300	Zm00001eb075300	-	3232
Zm00001d002809	chr2	23358947	23361793	Zm00001d002809	+	.	-1	-1	.	-1	.	0
Zm00001d002816	chr2	23633056	23633845	Zm00001d002816	-	.	-1	-1	.	-1	.	0
Zm00001d002817	chr2	23669571	23680451	Zm00001d002817	+	chr2	23670735	23680451	Zm00001eb075380	Zm00001eb075380	+	9716
Zm00001d002820	chr2	23730084	23730821	Zm00001d002820	+	chr2	23730084	23730821	Zm00001eb075400	Zm00001eb075400	+	737
Zm00001d002821	chr2	23812545	23812886	Zm00001d002821	+	chr2	23812545	23812886	Zm00001eb075410	Zm00001eb075410	+	341
Zm00001d002826	chr2	24070194	24070730	Zm00001d002826	-	chr2	24070194	24070730	Zm00001eb075490	Zm00001eb075490	-	536
Zm00001d002834	chr2	24394677	24395360	Zm00001d002834	-	chr2	24393059	24395360	Zm00001eb075550	Zm00001eb075550	-	683
Zm00001d002837	chr2	24415602	24419023	Zm00001d002837	-	chr2	24416269	24419023	Zm00001eb075580	Zm00001eb075580	-	2754
Zm00001d002839	chr2	24422067	24422735	Zm00001d002839	-	chr2	24422067	24423349	Zm00001eb075600	Zm00001eb075600	-	668
Zm00001d002841	chr2	24427610	24428572	Zm00001d002841	+	.	-1	-1	.	-1	.	0
Zm00001d002847	chr2	24624566	24628016	Zm00001d002847	-	chr2	24624566	24628013	Zm00001eb075660	Zm00001eb075660	-	3447
Zm00001d002848	chr2	24669244	24673350	Zm00001d002848	-	chr2	24669244	24673323	Zm00001eb075670	Zm00001eb075670	-	4079
Zm00001d002850	chr2	24811084	24812922	Zm00001d002850	-	chr2	24811084	24812922	Zm00001eb075700	Zm00001eb075700	-	1838
Zm00001d002862	chr2	25077310	25079078	Zm00001d002862	-	chr2	25077997	25079054	Zm00001eb075820	Zm00001eb075820	-	1057
